Agglomération,Echantillon,A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomérations de 500'000 habitants et plus,14361,0.06439232637924883,0.0038409827604064107,0.028822313570556337,0.002618135863205175,0.01688353391168781,0.0020161023452047637,0.5730832646131573,0.007740319106352598,0.06724758786336714,0.003919222849560436,0.22896387256221207,0.0065750529907428355,0.020607101099770632,0.0022231324547119114
de 250'000 à 499'999 habitants,4043,0.05368467777633931,0.0066475558431885315,0.024209924558625945,0.004533084339857443,0.016118128983365742,0.003714049396759101,0.6031026166772694,0.014429577237314195,0.04684040294602742,0.006231778473328765,0.24396120643010472,0.012666344894426204,0.012083042628267619,0.003222309538008968
de 100'000 à 249'000 habitants,7101,0.058663396112264406,0.005229583133223853,0.029660037537782864,0.003775363774327867,0.00984225449708738,0.0021969010031768566,0.6252779485395656,0.010772144716070664,0.04273094174940827,0.004500898717228017,0.21479834737443249,0.009139387001077854,0.019027074189459002,0.0030403635252793737
de 50'000 à 99'000 habitants,11244,0.04887192707535898,0.00381293645304046,0.022506531343357162,0.002623140489834084,0.013036883986865052,0.0020060774541217283,0.6648655894864263,0.0083480833080882,0.02849031522756331,0.0029422700401308104,0.20238007338713826,0.007105460136817356,0.019848679493290833,0.002466736211878941
de moins de 50'000 habitants,6881,0.04988572450526761,0.004921766868178022,0.025897136059583242,0.0035906514873083255,0.012459040301220208,0.0025076379218685265,0.6446656635564927,0.010820088981903394,0.020411282595631797,0.003196700946986377,0.22713202267473925,0.00947189370237433,0.019549130307065146,0.003129836229836284
Communes hors des agglomérations,13460,0.04051050394216082,0.003186780557651042,0.018142186317002956,0.0021573337380776008,0.014880290804936332,0.001957034298430821,0.7227973471521499,0.0072352774523169626,0.02485886973298582,0.0025166490124886704,0.16049564056960633,0.00593323188257619,0.018315161481157815,0.002167402857261528
Communes rurales sans caractère urbain,7406,0.04047838915095792,0.0042945522472850614,0.017156731447228745,0.0028296864176487377,0.012394565562933856,0.0024109393749553853,0.7311270765124223,0.009661595885743411,0.025365309668089607,0.0034262568493110047,0.15678609433355414,0.007923217001602123,0.016691833324813506,0.0027917449714471012
Communes-centres d'agglomération (villes-centres),17086,0.0691472795563091,0.0036398089452915885,0.03383482324657695,0.0025939296821000527,0.011304038137538936,0.0015166966929726709,0.5234358992747018,0.007165441705239724,0.05768207025615563,0.003344796495513317,0.292527774237977,0.006526627152272482,0.012068115290740755,0.0015665121906771491
Communes-centres d'agglomération (centres principaux),14310,0.057292688322727485,0.0036432500117375734,0.024962666986214684,0.002445721777093072,0.016185886564115976,0.001978225096518261,0.6477385107673413,0.0074883024892537795,0.048607215082438676,0.0033711744990873906,0.18804872373514547,0.006125635010600256,0.017164308542016258,0.00203612554615965
Communes-centres d'agglomération (centres secondaires),3411,0.04662051450260817,0.006769417913189927,0.020233902036322273,0.004520962652326505,0.014045858552866986,0.0037786128486877553,0.6119711852451892,0.015646866221522306,0.032324018839340794,0.005678812770072612,0.24413793907001913,0.01379331977166564,0.030666581753653357,0.0055360393922602915
Communes de la couronne d'agglomération,8823,0.04393972635848668,0.004091983975702748,0.021503676617125284,0.002896000104788567,0.01628536853181144,0.002526946079632903,0.7017207595117532,0.00913390080203388,0.03667188047173625,0.003752462172819942,0.1542804121423264,0.007211592924021943,0.025598176366760723,0.003153088579534099
