Agglomération;Echantillon;Mobilité douce;Mobilité douce (+/-);Transport individuel motorisé;Transport individuel motorisé (+/-);Transports publics;Transports publics (+/-);Autres;Autres (+/-)
Suisse;57090;0.07610508391890403;0.0020811762222324322;0.661231852114779;0.0037146585510596398;0.24400484262019456;0.0033709278854106607;0.018658221346122338;0.0010620280730469338
Agglomération Bellinzona;564;0.07142897986428291;0.02033648956743778;0.7137579309256091;0.035692207271290535;0.20558034121525373;0.03191148277494212;0.009232747994854183;0.007552357057615834
Agglomération Rheintal (CH);572;0.07195806603207808;0.02026265176770154;0.8008720088072595;0.03131269537534168;0.09346676860812424;0.022824076685813505;0.033703156552538124;0.014150223793006352
Agglomération Genève (CH);5456;0.10976771995560723;0.00793638199912629;0.6548585893229202;0.012069961139129216;0.22301120190175833;0.0105682795041928;0.012362488819714305;0.0028053387904917954
Agglomération St. Gallen;661;0.102176952252543;0.022092347763003273;0.6430771365982164;0.034945297552984964;0.25241039135233806;0.03168511349127378;0.0023355197969025503;0.003520902959223094
Agglomération Chur;593;0.07866086876248612;0.020731586340745074;0.6348371614414084;0.03707813357545326;0.24149969165183172;0.03295942132252246;0.04500227814427376;0.015964739060752832
Agglomération Basel (CH);3452;0.09695112476124056;0.009444248678106042;0.5750178704968997;0.01577834199935244;0.3077597056090519;0.014732270241375772;0.020271299132807754;0.004498099589690303
Agglomération Zürich;5453;0.08648852385097609;0.007138208859693045;0.5748776893486356;0.012554449691164706;0.31525783869177054;0.011799116422354471;0.023375948108617685;0.003837084204763381
Agglomération Yverdon-les-Bains;379;0.07066410918524614;0.024685216913958218;0.7313527474217819;0.04269782952916344;0.17017165622992714;0.03619835991109239;0.027811487163044983;0.015839391652326392
Agglomération Wil (SG);611;0.06340115895148553;0.018487387953295145;0.6826609551422905;0.03531135927796119;0.2522492765732878;0.0329490983107702;0.0016886093329361582;0.003114926147655922
Centre hors des agglomération Davos;57;0.062337040577889274;0.06005232083962534;0.6833904038277332;0.11553931829006288;0.13773356535343995;0.08560003869448198;0.11653899024093761;0.07970079342663008
Agglomération Baden - Brugg;805;0.08724535240959208;0.018651810333124276;0.6179298139773365;0.032115446410835115;0.28908033452721277;0.029963486910166086;0.005744499085858584;0.0049951426707400765
