Agglomération,Echantillon,Total,Total (+/-),Mobilité douce,Mobilité douce (+/-),Transport individuel motorisé,Transport individuel motorisé (+/-),Transports publics,Transports publics (+/-),Autres,Autres (+/-)
Suisse,57090,36.83175306457636,0.4602142135149309,2.803083657859935,0.04404321361908783,24.354328295524017,0.37905826406955134,8.987126109947825,0.2798073279097846,0.6872150012445857,0.09065163865274804
Agglomération Bellinzona,577,32.614598496565534,4.098496422280539,2.222425366425087,0.28674487732168896,23.416221739081394,3.0919797725005362,6.680215709037783,2.7277868779838923,0.29573568202126677,0.35872366190840627
Agglomération Heerbrugg (CH),572,40.05733912876914,5.769414153627578,2.882448654097314,0.4606748460669577,32.080801655530976,5.475810516806099,3.744030047405826,1.5586390052335515,1.3500587717350174,1.442668957138758
Agglomération Genève (CH),5249,24.89545470195606,1.2916267032880246,2.8522358168217314,0.13706230520553683,15.97984798438243,1.1000921569892104,5.743042165273219,0.6990854063253225,0.32032873547867824,0.1930430707925204
Agglomération St. Gallen,592,30.07116294023283,3.7117171149146255,3.124688853260905,0.43848590203369875,18.364409707970534,2.7782285106756213,8.51474542868648,2.5706271694455167,0.06731895031491356,0.055231090299937384
Agglomération Chur,726,41.923320727598515,4.690435567399264,3.0505203180101264,0.32187439128133194,27.4728335285018,3.684683122163556,9.9049334330568,2.8364622221406965,1.4950334480297798,1.0920186343680167
Agglomération Basel (CH),3305,31.6188350526891,1.808713722746792,3.120184406862645,0.16504264154446127,17.967542979287217,1.4579747122071414,10.024778118179709,1.163817407408872,0.5063295483595287,0.25561188477836216
Agglomération Zürich,4847,34.2725896487431,1.3974511012521906,2.998651896975203,0.14442881444168298,19.561510919151225,1.106261034526543,10.937273595205054,0.9262382469431909,0.7751532374116125,0.3176043513034615
Agglomération Wil (SG),616,38.722889567456704,4.653328431378249,2.3423052773056137,0.3030097295958286,26.916628818151572,3.801878704339028,9.378735939100082,3.0046809171464233,0.08521953289943783,0.05718121047104356
Agglomération Baden-Brugg,921,36.563319094949385,3.5129514776314323,2.987296305017245,0.37588693877336943,23.601597200115652,2.8961950690203997,9.608500634839231,2.288848362999049,0.3659249549772644,0.38542644708028706
Agglomération Olten-Zofingen,919,38.322282492528444,3.5081168280321613,2.6959407332382237,0.2886387803623537,23.16778835884362,2.5412416462745426,12.110076233592391,2.7199632322444995,0.34847716685420854,0.4248456016229401
Agglomération Vevey-Montreux,831,40.33286120271036,4.143040395638281,2.371225675035544,0.25907502729264437,28.181290685892314,3.2121051807687198,9.259548162368631,2.820833279919745,0.5207966794138716,0.6589483853729458
Agglomération Winterthur,980,37.676776584969076,3.216553770503698,3.556445402912439,0.3755584932130003,22.044002384854544,2.738299678070625,11.952020317878246,2.07904547226764,0.12430847932384695,0.08233542544212119
Agglomération Sion,519,38.017434714281755,5.575016392881399,2.264664217047021,0.36298138871441044,27.616458741486213,4.699956240719772,6.036097723880453,2.5916585974941766,2.1002140318680653,1.727035178251598
Agglomération Aarau,907,38.49658193424499,3.6887953305797097,3.177676098843266,0.3646766671341729,21.75620928740264,2.456566800213712,12.3566784748331,2.8256453251583613,1.2060180731659806,1.0604135777511539
Agglomération Solothurn,876,36.933731046498394,3.3670268052351293,2.915270502300444,0.36864392794395495,24.870074787233335,2.7381213847495856,8.936922236353857,2.2301372028680206,0.21146352061075863,0.16926970492384744
Agglomération Neuchâtel,1209,42.06996032717627,3.4343291963179103,2.7305832077955956,0.34348109365880786,30.168938345572727,3.0718854230357358,8.528534251888514,1.858060328168831,0.6419045219194414,0.3757797543553094
Agglomération Arbon-Rorschach (CH),627,38.05792037263991,4.33417121521332,2.7356976729708475,0.38044268043563295,29.75458422740736,3.9797060928955394,4.90111211608322,1.861574996469945,0.6665263561784792,0.9141379140947343
Agglomération Luzern,1682,34.407737623708606,2.452764148377975,3.221495794777142,0.2699247146266432,20.623530243173175,1.9908181712338955,9.518171649732478,1.4645043898838117,1.0445399360258079,0.5949203011191407
Agglomération Bulle,486,44.93678021225698,6.142477818623315,2.563698760508287,0.47404853700824584,35.50812031270812,5.4812547517423305,4.999410492927207,2.4274104310170457,1.8655506461133577,1.6258203397124902
Agglomération Lenzburg,478,42.80152570452057,5.351300398658753,2.9430667702506046,0.46826852005279496,26.876497968222136,4.7009189994524165,12.808467020404198,3.2652464225561975,0.17349394564363327,0.1257714181963282
Agglomération Biel/Bienne,527,30.955696490365035,4.198398017463646,3.28068950772719,0.5164612458689376,17.912964915220012,3.2128878951649287,9.253817245964884,3.0109535189065757,0.5082248214529494,0.4760256613677616
Agglomération La-Chaux-de-Fonds-Le Locle (CH),986,31.102204622265788,3.502384863363719,2.251589601501119,0.36455506228776113,23.8787334672397,3.239716807185249,4.878202132358168,1.4834780298230437,0.09367942116679853,0.09231329348050513
Agglomération Frauenfeld,608,36.07650812691707,4.008709687852063,3.062025993720967,0.4398491944911798,24.715028467071836,3.512298925509814,7.550178216077228,2.073397773648336,0.7492754500470437,0.6860138444585973
Agglomération Schaffhausen (CH),666,38.5998686857073,5.15137572988197,2.5094026726416394,0.3244649705231373,23.218006737664446,4.192584397067527,11.674938321493011,3.167749929066596,1.1975209539082075,1.0254702040107029
Agglomération Wetzikon - Pfäffikon (ZH),586,38.999263420063905,4.242740670293331,2.7175559208110367,0.47099421017590787,26.54160098518499,3.8522192689106896,9.615095309334764,2.255539654953379,0.12501120473311955,0.11420548585786744
Agglomération Lausanne,2227,35.56725497798476,2.3206138731477877,2.3645431780817825,0.17100667845927273,23.60623121095659,1.9456953077044732,8.999448782321808,1.3818073496371328,0.597031806624576,0.3998616263910017
Agglomération Stans,464,36.79837466464252,4.633813625203536,2.7586463606396023,0.4256927460022555,26.94720996824525,4.01879173619234,6.678397301966376,2.8100491077301095,0.4141210337912993,0.30975987650940906
Agglomération Rapperswil-Jona / Rüti,581,38.811701396112134,4.650832308920581,3.4969466063929375,0.471140794649133,18.80591059385527,2.8910532684660613,15.580377597468472,3.8271003750209722,0.928466598395454,0.8858282301623832
Agglomération Fribourg,1235,40.120790574418024,3.2638199514263624,2.3254128973721997,0.25772885398118517,26.635523926375424,2.5342536607856614,10.234003956821653,2.1568297566706316,0.9258497938487497,0.8219842581616587
Agglomération Bern,1305,39.058543778071105,3.376633459838781,3.4013334595633267,0.3409177117043436,20.962211195680766,2.527797577589599,14.213398154360366,2.4414897629769627,0.4816009684666475,0.37429631149097253
Agglomération Thun,574,42.55247320647675,5.152674792820838,3.494596148623518,0.43998000711167595,25.53011313427741,4.094181558065596,13.1510334635272,3.5404004099496915,0.3767304600486218,0.2974173173684454
Agglomération Burgdorf,243,37.87136627557951,7.078103638868629,3.6943819775063753,0.7454236528135894,20.857839419238037,5.253081311210288,13.250166080812342,5.398096898459232,0.06897879802275202,0.0727515268006456
Agglomération Chiasso-Mendrisio (CH),568,30.607751929728057,4.823140524243299,1.8287820347945407,0.4738839076098651,21.086395868359325,3.280959382912058,7.505809750784835,3.5852104699558525,0.18676427578935467,0.18653689718520733
Agglomération Schwyz,365,32.32341151934932,4.5158127577370095,3.0850342207217696,0.6567973788306681,21.206291733773476,3.9762278043242216,6.368933113616304,2.2802267617504017,1.6631524512377722,1.4049141502207914
Agglomération Yverdon-les-Bains,339,35.88840621674167,6.250732355073488,2.614851512927215,0.5190171975674254,26.072341183666566,5.392413465130249,6.0916799541490105,2.5285911431904586,1.1095335659988812,2.4244678543362186
Agglomération Grenchen,365,35.5384565620525,6.063412727220184,2.605957130631192,0.4784859942005978,26.708511353831344,5.614331253697957,6.09613869990361,2.5527229033350047,0.12784937768635174,0.14873516570231854
Agglomération Wohlen (AG),471,31.662255117339768,3.6686640410638045,2.2286875280082943,0.33705792677289437,23.95423053787833,3.374852163926231,5.411151038612744,1.9157665637580361,0.06818601284039696,0.050847833787326935
Agglomération St. Moritz,317,38.180814546002516,7.5761146522105545,3.849855930157547,0.6857038286934056,26.456411094403666,6.612713655351589,7.599695123261659,4.067687260340834,0.2748523981796319,0.1624040278308883
Agglomération Kreuzlingen (CH),616,32.23043075938098,3.8837491229072394,2.788938952090473,0.48734186112546873,22.55015205140094,3.354723579724781,6.787095627232681,2.224541489511053,0.10424412865688855,0.08188459278795916
Agglomération Interlaken,256,41.290670251817154,7.2892969295984775,3.4589875581865406,0.6877696801326191,24.165216992457598,5.861922174498707,12.398156993021644,4.921394776089691,1.2683087081513675,1.3674155261600747
Agglomération Locarno,591,27.818005001507437,3.4439428221044905,2.444701208485327,0.3104366497998193,21.59552824183321,3.054017337904228,3.7254099328091654,1.7047466368979516,0.052365618379737744,0.06447019298017237
Agglomération Lachen,443,45.56900628028595,5.26758683440482,2.3895041165723567,0.46385096906536966,31.135133555248583,4.543169764053619,10.427755759788297,3.0593702785019654,1.6166128486767084,1.6185258360617314
Agglomération Amriswil-Romanshorn,602,39.27558494968409,4.836912221396996,2.745437047453512,0.4114186690107056,26.31788541420552,4.181225114422603,9.776102261331856,2.8692779078269184,0.43616022669320514,0.4439428092049856
Agglomération Brig-Visp,252,49.08626485565314,9.325505347499696,4.343398505217872,1.3947491795325948,18.913169594704012,4.511746512452754,25.485079594927367,8.497933539122533,0.34461716080389265,0.40543310204633615
